Group No;Group Name;CH No;Name;Frequency;Dup;Offset;TS;Mode;SKIP;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign
01;;00;Marine CH 01;156.050000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;01;Marine CH 02;156.100000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;02;Marine CH 03;156.150000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;03;Marine CH 04;156.200000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;04;Marine CH 05;156.250000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;05;Marine CH 06;156.300000;OFF;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;06;Marine CH 07;156.350000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;07;Marine CH 08;156.400000;OFF;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;08;Marine CH 09;156.450000;OFF;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;09;Marine CH 10;156.500000;OFF;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;10;Marine CH 11;156.550000;OFF;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;11;Marine CH 12;156.600000;OFF;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;12;Marine CH 13;156.650000;OFF;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;13;Marine CH 14;156.700000;OFF;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;14;Marine CH 15;156.750000;OFF;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;15;Marine CH 16;156.800000;OFF;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;16;Marine CH 17;156.850000;OFF;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;17;Marine CH 18;156.900000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;18;Marine CH 19;156.950000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;19;Marine CH 20;157.000000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;20;Marine CH 21;157.050000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;21;Marine CH 22;157.100000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;22;Marine CH 23;157.150000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;23;Marine CH 24;157.200000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;24;Marine CH 25;157.250000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;25;Marine CH 26;157.300000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;26;Marine CH 27;157.350000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;27;Marine CH 28;157.400000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;28;Marine CH 60;156.025000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;29;Marine CH 61;156.075000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;30;Marine CH 62;156.125000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;31;Marine CH 63;156.175000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;32;Marine CH 64;156.225000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;33;Marine CH 65;156.275000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;34;Marine CH 66;156.325000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;35;Marine CH 67;156.375000;OFF;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;36;Marine CH 68;156.425000;OFF;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;37;Marine CH 69;156.475000;OFF;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;38;Marine CH 70;156.525000;OFF;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;39;Marine CH 71;156.575000;OFF;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;40;Marine CH 72;156.625000;OFF;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;41;Marine CH 73;156.675000;OFF;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;42;Marine CH 74;156.725000;OFF;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;43;Marine CH 75;156.775000;OFF;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;44;Marine CH 76;156.825000;OFF;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;45;Marine CH 77;156.875000;OFF;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;46;Marine CH 78;156.925000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;47;Marine CH 79;156.975000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;48;Marine CH 80;157.025000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;49;Marine CH 81;157.075000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;50;Marine CH 82;157.125000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;51;Marine CH 83;157.175000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;52;Marine CH 84;157.225000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;53;Marine CH 85;157.275000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;54;Marine CH 86;157.325000;DUP+;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;55;Marine CH 87;157.375000;OFF;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
01;;56;Marine CH 88;157.425000;OFF;4.600000;12.5kHz;FM;OFF;OFF;88.5Hz;88.5Hz;023;BOTH N;;;;;
